Date,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank
2019-12-31,005930,삼성전자,KOSPI,,55800,2,-700,-1.24,56200,56600,55700,8356767,467929804000,333113866290000,5969782550,STK,1
2020-12-31,005930,삼성전자,KOSPI,,81000,1,2700,3.45,77400,81300,77300,29417421,2344317462700,483552386550000,5969782550,STK,1
