시간,계정명,당기금액
2016-12-31,유동자산,"141,429,704,000,000"
2016-12-31,비유동자산,"120,744,620,000,000"
2016-12-31,자산총계,"262,174,324,000,000"
2016-12-31,유동부채,"54,704,095,000,000"
2016-12-31,비유동부채,"14,507,196,000,000"
2016-12-31,부채총계,"69,211,291,000,000"
2016-12-31,이익잉여금,"193,086,317,000,000"
2016-12-31,자본총계,"192,963,033,000,000"
2016-12-31,매출액,"201,866,745,000,000"
2016-12-31,영업이익,"29,240,672,000,000"
2016-12-31,법인세차감전 순이익,"30,713,652,000,000"
2016-12-31,당기순이익,"22,726,092,000,000"
2016-12-31,유동자산,141429704000000
2016-12-31,현금및현금성자산,32111442000000
2016-12-31,단기금융상품,52432411000000
2016-12-31,단기매도가능금융자산,3638460000000
2016-12-31,매출채권,24279211000000
2016-12-31,미수금,3521197000000
2016-12-31,선급금,1439938000000
2016-12-31,선급비용,3502083000000
2016-12-31,재고자산,18353503000000
2016-12-31,기타유동자산,1315653000000
2016-12-31,매각예정분류자산,835806000000
2016-12-31,비유동자산,120744620000000
2016-12-31,장기매도가능금융자산,6804276000000
2016-12-31,관계기업 및 공동기업 투자,5837884000000
2016-12-31,유형자산,91473041000000
2016-12-31,무형자산,5344020000000
2016-12-31,장기선급비용,3834831000000
2016-12-31,순확정급여자산,557091000000
2016-12-31,이연법인세자산,5321450000000
2016-12-31,기타비유동자산,1572027000000
2016-12-31,자산총계,262174324000000
2016-12-31,유동부채,54704095000000
2016-12-31,매입채무,6485039000000
2016-12-31,단기차입금,12746789000000
2016-12-31,미지급금,11525910000000
2016-12-31,선수금,1358878000000
2016-12-31,예수금,685028000000
2016-12-31,미지급비용,12527300000000
2016-12-31,미지급법인세,2837353000000
2016-12-31,유동성장기부채,1232817000000
2016-12-31,충당부채,4597417000000
2016-12-31,기타유동부채,351176000000
2016-12-31,매각예정분류부채,356388000000
2016-12-31,비유동부채,14507196000000
2016-12-31,사채,58542000000
2016-12-31,장기차입금,1244238000000
2016-12-31,장기미지급금,3317054000000
2016-12-31,순확정급여부채,173656000000
2016-12-31,이연법인세부채,7293514000000
2016-12-31,장기충당부채,358126000000
2016-12-31,기타비유동부채,2062066000000
2016-12-31,부채총계,69211291000000
2016-12-31,지배기업 소유주지분,186424328000000
2016-12-31,자본금,897514000000
2016-12-31,우선주자본금,119467000000
2016-12-31,보통주자본금,778047000000
2016-12-31,주식발행초과금,4403893000000
2016-12-31,이익잉여금(결손금),193086317000000
2016-12-31,기타자본항목,-11934586000000
2016-12-31,매각예정분류기타자본항목,-28810000000
2016-12-31,비지배지분,6538705000000
2016-12-31,자본총계,192963033000000
2016-12-31,자본과부채총계,262174324000000
2016-12-31,수익(매출액),201866745000000
2016-12-31,매출원가,120277715000000
2016-12-31,매출총이익,81589030000000
2016-12-31,판매비와관리비,52348358000000
2016-12-31,영업이익(손실),29240672000000
2016-12-31,기타수익,3238261000000
2016-12-31,기타비용,2463814000000
2016-12-31,지분법이익,19501000000
2016-12-31,금융수익,11385645000000
2016-12-31,금융비용,10706613000000
2016-12-31,법인세비용차감전순이익(손실),30713652000000
2016-12-31,법인세비용,7987560000000
2016-12-31,계속영업이익(손실),22726092000000
2016-12-31,당기순이익(손실),22726092000000
2016-12-31,지배기업의 소유주에게 귀속되는 당기순이익(손실),22415655000000
2016-12-31,비지배지분에 귀속되는 당기순이익(손실),310437000000
2016-12-31,기본주당이익(손실) (단위:원),157967
2016-12-31,희석주당이익(손실) (단위:원),157967
2016-12-31,당기순이익(손실),22726092000000
2016-12-31,기타포괄손익,1991400000000
2016-12-31,후속적으로 당기손익으로 재분류되지 않는 포괄손익,1014040000000
2016-12-31,순확정급여부채 재측정요소,963602000000
2016-12-31,관계기업 및 공동기업의 기타포괄손익에 대한 지분,50438000000
2016-12-31,후속적으로 당기손익으로 재분류되는 포괄손익,977360000000
2016-12-31,매도가능금융자산평가손익,-23839000000
2016-12-31,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-130337000000
2016-12-31,해외사업장환산외환차이,1131536000000
2016-12-31,총포괄손익,24717492000000
2016-12-31,지배기업 소유주지분,24310814000000
2016-12-31,비지배지분,406678000000
2017-12-31,유동자산,"146,982,464,000,000"
2017-12-31,비유동자산,"154,769,626,000,000"
2017-12-31,자산총계,"301,752,090,000,000"
2017-12-31,유동부채,"67,175,114,000,000"
2017-12-31,비유동부채,"20,085,548,000,000"
2017-12-31,부채총계,"87,260,662,000,000"
2017-12-31,자본금,"897,514,000,000"
2017-12-31,이익잉여금,"215,811,200,000,000"
2017-12-31,자본총계,"214,491,428,000,000"
2017-12-31,매출액,"239,575,376,000,000"
2017-12-31,영업이익,"53,645,038,000,000"
2017-12-31,법인세차감전 순이익,"56,195,967,000,000"
2017-12-31,당기순이익,"42,186,747,000,000"
2017-12-31,유동자산,146982464000000
2017-12-31,현금및현금성자산,30545130000000
2017-12-31,단기금융상품,49447696000000
2017-12-31,단기매도가능금융자산,3191375000000
2017-12-31,매출채권,27695995000000
2017-12-31,미수금,4108961000000
2017-12-31,선급금,1753673000000
2017-12-31,선급비용,3835219000000
2017-12-31,재고자산,24983355000000
2017-12-31,기타유동자산,1421060000000
2017-12-31,매각예정분류자산,
2017-12-31,비유동자산,154769626000000
2017-12-31,장기매도가능금융자산,7752180000000
2017-12-31,만기보유금융자산,106751000000
2017-12-31,관계기업 및 공동기업 투자,6802351000000
2017-12-31,유형자산,111665648000000
2017-12-31,무형자산,14760483000000
2017-12-31,장기선급비용,3434375000000
2017-12-31,순확정급여자산,825892000000
2017-12-31,이연법인세자산,5061687000000
2017-12-31,기타비유동자산,4360259000000
2017-12-31,자산총계,301752090000000
2017-12-31,유동부채,67175114000000
2017-12-31,매입채무,9083907000000
2017-12-31,단기차입금,15767619000000
2017-12-31,미지급금,13899633000000
2017-12-31,선수금,1249174000000
2017-12-31,예수금,793582000000
2017-12-31,미지급비용,13996273000000
2017-12-31,미지급법인세,7408348000000
2017-12-31,유동성장기부채,278619000000
2017-12-31,충당부채,4294820000000
2017-12-31,기타유동부채,403139000000
2017-12-31,매각예정분류부채,
2017-12-31,비유동부채,20085548000000
2017-12-31,사채,953361000000
2017-12-31,장기차입금,1814446000000
2017-12-31,장기미지급금,2043729000000
2017-12-31,순확정급여부채,389922000000
2017-12-31,이연법인세부채,11710781000000
2017-12-31,장기충당부채,464324000000
2017-12-31,기타비유동부채,2708985000000
2017-12-31,부채총계,87260662000000
2017-12-31,지배기업 소유주지분,207213416000000
2017-12-31,자본금,897514000000
2017-12-31,우선주자본금,119467000000
2017-12-31,보통주자본금,778047000000
2017-12-31,주식발행초과금,4403893000000
2017-12-31,이익잉여금(결손금),215811200000000
2017-12-31,기타자본항목,-13899191000000
2017-12-31,매각예정분류기타자본항목,
2017-12-31,비지배지분,7278012000000
2017-12-31,자본총계,214491428000000
2017-12-31,자본과부채총계,301752090000000
2017-12-31,수익(매출액),239575376000000
2017-12-31,매출원가,129290661000000
2017-12-31,매출총이익,110284715000000
2017-12-31,판매비와관리비,56639677000000
2017-12-31,영업이익(손실),53645038000000
2017-12-31,기타수익,3010657000000
2017-12-31,기타비용,1419648000000
2017-12-31,지분법이익,201442000000
2017-12-31,금융수익,9737391000000
2017-12-31,금융비용,8978913000000
2017-12-31,법인세비용차감전순이익(손실),56195967000000
2017-12-31,법인세비용,14009220000000
2017-12-31,계속영업이익(손실),42186747000000
2017-12-31,당기순이익(손실),42186747000000
2017-12-31,지배기업의 소유주에게 귀속되는 당기순이익(손실),41344569000000
2017-12-31,비지배지분에 귀속되는 당기순이익(손실),842178000000
2017-12-31,기본주당이익(손실) (단위:원),299868
2017-12-31,희석주당이익(손실) (단위:원),299868
2017-12-31,당기순이익(손실),42186747000000
2017-12-31,기타포괄손익,-5502257000000
2017-12-31,후속적으로 당기손익으로 재분류되지 않는 포괄손익,407900000000
2017-12-31,순확정급여부채 재측정요소,414247000000
2017-12-31,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-6347000000
2017-12-31,후속적으로 당기손익으로 재분류되는 포괄손익,-5910157000000
2017-12-31,매도가능금융자산평가손익,511207000000
2017-12-31,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-49256000000
