,시간,계정명,당기금액
NAVER,2020-03-31,비유동부채,"237,391,509,130"
NAVER,2020-03-31,부채총계,"1,287,271,703,574"
NAVER,2020-03-31,자본금,"16,481,339,500"
NAVER,2020-03-31,이익잉여금,"6,931,808,804,293"
NAVER,2020-03-31,자본총계,"5,707,489,814,772"
NAVER,2020-06-30,유동자산,"7,081,905,382,902"
NAVER,2020-06-30,비유동자산,"7,593,539,936,131"
NAVER,2020-06-30,자산총계,"14,675,445,319,033"
NAVER,2020-06-30,유동부채,"4,562,847,927,361"
NAVER,2020-06-30,비유동부채,"2,154,746,122,202"
NAVER,2020-06-30,부채총계,"6,717,594,049,563"
NAVER,2020-06-30,자본금,"16,481,339,500"
NAVER,2020-06-30,이익잉여금,"5,987,387,833,345"
NAVER,2020-06-30,자본총계,"7,957,851,269,470"
NAVER,2020-06-30,매출액,"1,902,467,957,491"
NAVER,2020-06-30,영업이익,"230,597,573,115"
NAVER,2020-06-30,법인세차감전 순이익,"175,767,301,865"
NAVER,2020-06-30,당기순이익,"90,682,203,810"
NAVER,2020-06-30,유동자산,"912,220,782,543"
NAVER,2020-06-30,비유동자산,"6,293,486,279,418"
NAVER,2020-06-30,자산총계,"7,205,707,061,961"
NAVER,2020-06-30,유동부채,"917,090,354,651"
NAVER,2020-06-30,비유동부채,"242,704,930,705"
NAVER,2020-06-30,부채총계,"1,159,795,285,356"
NAVER,2020-06-30,자본금,"16,481,339,500"
NAVER,2020-06-30,이익잉여금,"7,188,030,314,472"
NAVER,2020-06-30,자본총계,"6,045,911,776,605"
NAVER,2020-09-30,유동자산,"10,206,941,063,717"
NAVER,2020-09-30,비유동자산,"5,245,618,734,192"
NAVER,2020-09-30,자산총계,"15,452,559,797,909"
NAVER,2020-09-30,유동부채,"7,272,227,392,553"
NAVER,2020-09-30,비유동부채,"768,595,190,364"
NAVER,2020-09-30,부채총계,"8,040,822,582,917"
NAVER,2020-09-30,자본금,"16,481,339,500"
NAVER,2020-09-30,이익잉여금,"6,233,585,528,332"
NAVER,2020-09-30,자본총계,"7,411,737,214,992"
NAVER,2020-09-30,매출액,"1,360,779,374,259"
NAVER,2020-09-30,영업이익,"291,726,798,004"
NAVER,2020-09-30,법인세차감전 순이익,"361,581,556,617"
NAVER,2020-09-30,당기순이익,"235,342,965,699"
NAVER,2020-09-30,유동자산,"1,685,605,993,665"
NAVER,2020-09-30,비유동자산,"6,030,475,567,454"
NAVER,2020-09-30,자산총계,"7,716,081,561,119"
NAVER,2020-09-30,유동부채,"1,023,388,129,964"
NAVER,2020-09-30,비유동부채,"247,563,826,309"
NAVER,2020-09-30,부채총계,"1,270,951,956,273"
NAVER,2020-09-30,자본금,"16,481,339,500"
NAVER,2020-09-30,이익잉여금,"7,490,674,971,301"
NAVER,2020-09-30,자본총계,"6,445,129,604,846"
NAVER,2020-12-31,유동자산,"10,544,659,200,319"
NAVER,2020-12-31,비유동자산,"6,469,579,463,451"
NAVER,2020-12-31,자산총계,"17,014,238,663,770"
NAVER,2020-12-31,유동부채,"7,911,751,492,331"
NAVER,2020-12-31,비유동부채,"847,355,136,226"
NAVER,2020-12-31,부채총계,"8,759,106,628,557"
NAVER,2020-12-31,자본금,"16,481,339,500"
NAVER,2020-12-31,이익잉여금,"6,654,814,483,478"
NAVER,2020-12-31,자본총계,"8,255,132,035,213"
NAVER,2020-12-31,매출액,"5,304,145,900,386"
NAVER,2020-12-31,영업이익,"1,215,342,457,273"
NAVER,2020-12-31,법인세차감전 순이익,"1,633,558,910,913"
NAVER,2020-12-31,당기순이익,"844,996,977,149"
NAVER,2020-12-31,유동자산,"958,002,631,668"
NAVER,2020-12-31,비유동자산,"7,865,547,902,079"
NAVER,2020-12-31,자산총계,"8,823,550,533,747"
NAVER,2020-12-31,유동부채,"1,269,469,278,464"
NAVER,2020-12-31,비유동부채,"291,954,758,846"
NAVER,2020-12-31,부채총계,"1,561,424,037,310"
NAVER,2020-12-31,자본금,"16,481,339,500"
NAVER,2020-12-31,이익잉여금,"7,803,526,568,981"
NAVER,2020-12-31,자본총계,"7,262,126,496,437"
카카오,2020-03-31,유동자산,"3,026,023,695,033"
카카오,2020-03-31,비유동자산,"6,009,708,745,439"
카카오,2020-03-31,자산총계,"9,495,806,064,231"
카카오,2020-03-31,유동부채,"2,465,156,041,424"
카카오,2020-03-31,비유동부채,"587,098,001,707"
카카오,2020-03-31,부채총계,"3,447,995,710,427"
카카오,2020-03-31,자본금,"43,528,587,500"
카카오,2020-03-31,이익잉여금,"238,161,606,636"
카카오,2020-03-31,자본총계,"6,047,810,353,804"
카카오,2020-03-31,영업이익,"88,210,720,374"
카카오,2020-03-31,법인세차감전 순이익,"126,598,880,672"
카카오,2020-03-31,당기순이익,"79,899,414,481"
카카오,2020-03-31,유동자산,"1,169,400,072,074"
카카오,2020-03-31,비유동자산,"5,370,962,596,627"
카카오,2020-03-31,자산총계,"6,540,362,668,701"
카카오,2020-03-31,유동부채,"1,283,385,428,330"
카카오,2020-03-31,비유동부채,"240,143,697,266"
카카오,2020-03-31,부채총계,"1,523,529,125,596"
카카오,2020-03-31,자본금,"43,528,587,500"
카카오,2020-03-31,이익잉여금,"382,753,944,926"
카카오,2020-03-31,자본총계,"5,016,833,543,105"
카카오,2020-06-30,유동자산,"3,273,438,925,574"
카카오,2020-06-30,비유동자산,"6,301,728,504,840"
카카오,2020-06-30,자산총계,"10,042,994,999,034"
카카오,2020-06-30,유동부채,"2,320,782,959,791"
카카오,2020-06-30,비유동부채,"635,195,322,149"
카카오,2020-06-30,부채총계,"3,341,525,267,918"
카카오,2020-06-30,자본금,"43,973,079,000"
카카오,2020-06-30,이익잉여금,"377,922,999,426"
카카오,2020-06-30,자본총계,"6,701,469,731,116"
카카오,2020-06-30,영업이익,"97,771,189,468"
카카오,2020-06-30,법인세차감전 순이익,"204,123,262,300"
카카오,2020-06-30,당기순이익,"145,222,363,913"
카카오,2020-06-30,유동자산,"1,198,575,346,416"
카카오,2020-06-30,비유동자산,"5,476,743,982,906"
카카오,2020-06-30,자산총계,"6,675,319,329,322"
카카오,2020-06-30,유동부채,"1,091,942,166,437"
카카오,2020-06-30,비유동부채,"226,746,271,026"
카카오,2020-06-30,부채총계,"1,318,688,437,463"
카카오,2020-06-30,자본금,"43,973,079,000"
카카오,2020-06-30,이익잉여금,"416,872,802,873"
카카오,2020-06-30,자본총계,"5,356,630,891,859"
카카오,2020-09-30,유동자산,"4,115,525,728,366"
카카오,2020-09-30,비유동자산,"6,617,350,799,451"
카카오,2020-09-30,자산총계,"11,232,623,887,656"
카카오,2020-09-30,유동부채,"2,667,507,634,832"
카카오,2020-09-30,비유동부채,"689,368,139,148"
카카오,2020-09-30,부채총계,"3,762,807,718,531"
카카오,2020-09-30,자본금,"44,173,909,500"
카카오,2020-09-30,이익잉여금,"505,448,813,124"
카카오,2020-09-30,자본총계,"7,469,816,169,125"
카카오,2020-09-30,영업이익,"120,214,821,162"
카카오,2020-09-30,법인세차감전 순이익,"179,592,595,823"
카카오,2020-09-30,당기순이익,"143,728,038,530"
카카오,2020-09-30,유동자산,"1,315,804,166,501"
카카오,2020-09-30,비유동자산,"5,681,904,032,910"
카카오,2020-09-30,자산총계,"6,997,708,199,411"
카카오,2020-09-30,유동부채,"1,206,166,382,007"
카카오,2020-09-30,비유동부채,"263,610,276,188"
카카오,2020-09-30,부채총계,"1,469,776,658,195"
카카오,2020-09-30,자본금,"44,173,909,500"
카카오,2020-09-30,이익잉여금,"493,934,399,631"
카카오,2020-09-30,자본총계,"5,527,931,541,216"
카카오,2020-12-31,유동자산,"4,462,924,201,049"
